fine_labels,coarse_labels
squirrel,small_mammals
shrew,small_mammals
possum,medium_mammals
possum,medium_mammals
rabbit,small_mammals
hamster,small_mammals
otter,aquatic_mammals
seal,aquatic_mammals
mouse,small_mammals
hamster,small_mammals
possum,medium_mammals
skunk,medium_mammals
raccoon,medium_mammals
whale,aquatic_mammals
skunk,medium_mammals
otter,aquatic_mammals
beaver,aquatic_mammals
possum,medium_mammals
beaver,aquatic_mammals
fox,medium_mammals
possum,medium_mammals
possum,medium_mammals
dolphin,aquatic_mammals
dolphin,aquatic_mammals
raccoon,medium_mammals
porcupine,medium_mammals
beaver,aquatic_mammals
porcupine,medium_mammals
shrew,small_mammals
whale,aquatic_mammals
possum,medium_mammals
raccoon,medium_mammals
rabbit,small_mammals
seal,aquatic_mammals
possum,medium_mammals
seal,aquatic_mammals
squirrel,small_mammals
shrew,small_mammals
porcupine,medium_mammals
rabbit,small_mammals
hamster,small_mammals
raccoon,medium_mammals
rabbit,small_mammals
whale,aquatic_mammals
fox,medium_mammals
raccoon,medium_mammals
raccoon,medium_mammals
raccoon,medium_mammals
rabbit,small_mammals
squirrel,small_mammals
mouse,small_mammals
porcupine,medium_mammals
dolphin,aquatic_mammals
possum,medium_mammals
raccoon,medium_mammals
skunk,medium_mammals
raccoon,medium_mammals
raccoon,medium_mammals
squirrel,small_mammals
hamster,small_mammals
possum,medium_mammals
squirrel,small_mammals
rabbit,small_mammals
seal,aquatic_mammals
otter,aquatic_mammals
beaver,aquatic_mammals
rabbit,small_mammals
whale,aquatic_mammals
rabbit,small_mammals
porcupine,medium_mammals
otter,aquatic_mammals
fox,medium_mammals
skunk,medium_mammals
raccoon,medium_mammals
skunk,medium_mammals
rabbit,small_mammals
seal,aquatic_mammals
beaver,aquatic_mammals
dolphin,aquatic_mammals
rabbit,small_mammals
shrew,small_mammals
porcupine,medium_mammals
whale,aquatic_mammals
whale,aquatic_mammals
shrew,small_mammals
whale,aquatic_mammals
mouse,small_mammals
shrew,small_mammals
fox,medium_mammals
rabbit,small_mammals
dolphin,aquatic_mammals
rabbit,small_mammals
raccoon,medium_mammals
beaver,aquatic_mammals
rabbit,small_mammals
squirrel,small_mammals
beaver,aquatic_mammals
shrew,small_mammals
dolphin,aquatic_mammals
squirrel,small_mammals
shrew,small_mammals
squirrel,small_mammals
possum,medium_mammals
dolphin,aquatic_mammals
raccoon,medium_mammals
mouse,small_mammals
raccoon,medium_mammals
otter,aquatic_mammals
shrew,small_mammals
mouse,small_mammals
raccoon,medium_mammals
shrew,small_mammals
skunk,medium_mammals
seal,aquatic_mammals
hamster,small_mammals
porcupine,medium_mammals
possum,medium_mammals
porcupine,medium_mammals
raccoon,medium_mammals
whale,aquatic_mammals
rabbit,small_mammals
raccoon,medium_mammals
porcupine,medium_mammals
otter,aquatic_mammals
seal,aquatic_mammals
beaver,aquatic_mammals
porcupine,medium_mammals
possum,medium_mammals
possum,medium_mammals
skunk,medium_mammals
hamster,small_mammals
mouse,small_mammals
hamster,small_mammals
rabbit,small_mammals
mouse,small_mammals
hamster,small_mammals
mouse,small_mammals
skunk,medium_mammals
seal,aquatic_mammals
hamster,small_mammals
shrew,small_mammals
porcupine,medium_mammals
seal,aquatic_mammals
whale,aquatic_mammals
fox,medium_mammals
beaver,aquatic_mammals
mouse,small_mammals
whale,aquatic_mammals
possum,medium_mammals
beaver,aquatic_mammals
beaver,aquatic_mammals
rabbit,small_mammals
skunk,medium_mammals
porcupine,medium_mammals
fox,medium_mammals
rabbit,small_mammals
beaver,aquatic_mammals
beaver,aquatic_mammals
dolphin,aquatic_mammals
porcupine,medium_mammals
dolphin,aquatic_mammals
dolphin,aquatic_mammals
hamster,small_mammals
raccoon,medium_mammals
porcupine,medium_mammals
skunk,medium_mammals
whale,aquatic_mammals
mouse,small_mammals
porcupine,medium_mammals
mouse,small_mammals
possum,medium_mammals
squirrel,small_mammals
hamster,small_mammals
shrew,small_mammals
fox,medium_mammals
otter,aquatic_mammals
squirrel,small_mammals
skunk,medium_mammals
squirrel,small_mammals
shrew,small_mammals
possum,medium_mammals
mouse,small_mammals
possum,medium_mammals
squirrel,small_mammals
fox,medium_mammals
beaver,aquatic_mammals
mouse,small_mammals
squirrel,small_mammals
porcupine,medium_mammals
rabbit,small_mammals
beaver,aquatic_mammals
porcupine,medium_mammals
porcupine,medium_mammals
squirrel,small_mammals
beaver,aquatic_mammals
squirrel,small_mammals
dolphin,aquatic_mammals
porcupine,medium_mammals
shrew,small_mammals
skunk,medium_mammals
squirrel,small_mammals
otter,aquatic_mammals
shrew,small_mammals
whale,aquatic_mammals
squirrel,small_mammals
skunk,medium_mammals
squirrel,small_mammals
raccoon,medium_mammals
shrew,small_mammals
fox,medium_mammals
beaver,aquatic_mammals
whale,aquatic_mammals
beaver,aquatic_mammals
mouse,small_mammals
rabbit,small_mammals
rabbit,small_mammals
squirrel,small_mammals
mouse,small_mammals
mouse,small_mammals
porcupine,medium_mammals
seal,aquatic_mammals
fox,medium_mammals
possum,medium_mammals
possum,medium_mammals
skunk,medium_mammals
whale,aquatic_mammals
fox,medium_mammals
squirrel,small_mammals
possum,medium_mammals
seal,aquatic_mammals
raccoon,medium_mammals
fox,medium_mammals
shrew,small_mammals
possum,medium_mammals
raccoon,medium_mammals
fox,medium_mammals
dolphin,aquatic_mammals
dolphin,aquatic_mammals
whale,aquatic_mammals
skunk,medium_mammals
squirrel,small_mammals
shrew,small_mammals
dolphin,aquatic_mammals
possum,medium_mammals
possum,medium_mammals
otter,aquatic_mammals
mouse,small_mammals
fox,medium_mammals
possum,medium_mammals
whale,aquatic_mammals
shrew,small_mammals
shrew,small_mammals
seal,aquatic_mammals
skunk,medium_mammals
dolphin,aquatic_mammals
skunk,medium_mammals
squirrel,small_mammals
beaver,aquatic_mammals
mouse,small_mammals
squirrel,small_mammals
mouse,small_mammals
raccoon,medium_mammals
hamster,small_mammals
seal,aquatic_mammals
otter,aquatic_mammals
hamster,small_mammals
possum,medium_mammals
rabbit,small_mammals
mouse,small_mammals
seal,aquatic_mammals
possum,medium_mammals
seal,aquatic_mammals
dolphin,aquatic_mammals
whale,aquatic_mammals
otter,aquatic_mammals
possum,medium_mammals
fox,medium_mammals
beaver,aquatic_mammals
skunk,medium_mammals
rabbit,small_mammals
shrew,small_mammals
beaver,aquatic_mammals
possum,medium_mammals
possum,medium_mammals
rabbit,small_mammals
possum,medium_mammals
rabbit,small_mammals
whale,aquatic_mammals
otter,aquatic_mammals
otter,aquatic_mammals
